Track{name='Skills in Pills', year=2015, rate=8.56, time=13:27}
Track{name='Deus In Absentia', year=2016, rate=8.86, time=5:31}
Track{name='Jigolo Har Megiddo', year=2013, rate=7.65, time=14:30}
Track{name='Con Clavi Con Dio', year=2010, rate=6.0, time=7:18}
Track{name='Mummy Dust', year=2016, rate=7.22, time=6:29}
Track{name='Majesty', year=2016, rate=7.83, time=11:57}
Track{name='Elizabeth', year=2010, rate=8.5, time=9:21}
Track{name='Crucified', year=2013, rate=8.36, time=3:49}
Track{name='Satan Prayer', year=2010, rate=5.67, time=11:40}
Track{name='Genesis', year=2010, rate=7.06, time=5:30}
Track{name='Ghuleh / Zombie Queen', year=2013, rate=7.86, time=13:10}
Track{name='Nocturnal Me', year=2016, rate=8.76, time=12:2}
Track{name='Bible', year=2016, rate=9.77, time=9:45}
Track{name='Stand By Him', year=2010, rate=5.42, time=13:35}
Track{name='Spirit', year=2016, rate=4.97, time=9:2}
Track{name='Per Aspera Ad Inferi', year=2013, rate=5.75, time=10:14}
Track{name='SECULAR HAZE', year=2013, rate=5.38, time=5:50}
Track{name='Ievan Polkka', year=2012, rate=8.26, time=9:52}
Track{name='Vodka', year=2009, rate=7.1, time=8:4}
Track{name='Lempo', year=2015, rate=4.6, time=9:26}
Track{name='A Man with a Plan', year=2016, rate=7.88, time=9:13}
Track{name='Leviluhta', year=2020, rate=9.69, time=8:24}
Track{name='Tuuleton', year=2021, rate=7.61, time=5:20}
Track{name='Rauta', year=2012, rate=6.9, time=5:30}
Track{name='Niemi', year=2021, rate=8.77, time=15:7}
Track{name='Kotikonnut', year=2018, rate=5.5, time=6:46}
Track{name='Sanaton maa', year=2020, rate=5.89, time=9:53}
Track{name='Juodaan Viinaa', year=2009, rate=8.88, time=2:47}
Track{name='Kunnia', year=2012, rate=7.84, time=3:3}
Track{name='Kiuru', year=2021, rate=4.77, time=14:43}
Track{name='Viinameen Mies', year=2015, rate=9.38, time=14:55}
Track{name='Henkselipoika', year=2018, rate=8.19, time=4:45}
Track{name='Ieva'S Polka', year=2012, rate=6.33, time=8:45}
Track{name='Miero', year=2021, rate=4.79, time=2:41}
Track{name='Sahti', year=2015, rate=6.14, time=7:50}
Track{name='Jagermeister', year=2019, rate=8.97, time=9:4}
Track{name='Anolan aukeat', year=2021, rate=5.21, time=7:32}
Track{name='Tequila', year=2011, rate=7.66, time=2:53}
Track{name='Ruumiinmultaa', year=2012, rate=8.26, time=8:16}
Track{name='Aallon alla', year=2018, rate=5.89, time=12:24}
Track{name='Sudenmorsian', year=2020, rate=6.36, time=12:23}
Track{name='Juuret', year=2021, rate=5.67, time=5:23}
Track{name='Tuonelan Tuvilla', year=2012, rate=6.49, time=8:39}
Track{name='Verikoira', year=2021, rate=9.48, time=5:13}
Track{name='Bring Us Pints of Beer', year=2009, rate=6.12, time=10:46}
Track{name='Luontoni', year=2015, rate=6.2, time=9:10}
Track{name='Mylly', year=2020, rate=9.12, time=9:29}
Track{name='Korpikuusen kyynel', year=2018, rate=6.02, time=7:8}
Track{name='Tuoppi Oltta', year=2011, rate=7.37, time=12:24}
Track{name='Kultanainen', year=2009, rate=5.14, time=12:36}
Track{name='Beer Beer - Scotland', year=2019, rate=7.84, time=7:54}
Track{name='Land of a Thousand Drinks', year=2019, rate=4.57, time=12:27}
Track{name='Vaarinpolkka', year=2011, rate=6.49, time=3:58}
Track{name='Mettanpeiton Valtiaalle', year=2009, rate=7.24, time=6:38}
Track{name='Suden joiku', year=2008, rate=5.88, time=2:48}
Track{name='Harmaja', year=2018, rate=7.79, time=10:2}
Track{name='Korvesta Liha', year=2011, rate=9.35, time=13:32}
Track{name='Neito', year=2018, rate=6.81, time=2:56}
Track{name='Louhen Yhdeksas Poika', year=2011, rate=6.79, time=5:6}
Track{name='Another Brick in the Wall, Pt. 1, 2, 3', year=2010, rate=5.12, time=9:1}
Track{name='Zombie', year=2018, rate=6.42, time=4:57}
Track{name='Zombie', year=1994, rate=6.31, time=6:28}
Track{name='Istanbul (Not Constantinople)', year=1990, rate=6.96, time=3:50}
